Assemblage,ID,N. scars,Flaking Length,Width at Midpoint,Proximal Width,Distal Width,Thickness at midpoint,Platform Width,Platform Thickness
KAM-4 A.E,14,3.00,31.33,21.50,21.29,12.76,5.76,18.05,4.87
KAM-4 A.E,40,5.00,38.03,34.17,31.96,23.17,7.95,26.32,4.47
KAM-4 A.E,58,4.00,45.94,35.65,32.32,26.41,12.43,29.02,12.18
KAM-4 A.E,59,5.00,57.07,34.42,34.79,6.41,9.36,36.18,7.72
KAM-4 A.E,61,3.00,38.96,25.45,28.52,2.18,5.83,29.80,5.26
KAM-4 A.E,108,4.00,45.97,30.32,31.99,3.44,7.84,29.78,8.89
KAM-4 A.E,110,4.00,25.07,22.10,22.08,7.67,6.34,20.36,6.19
KAM-4 A.E,112,4.00,39.25,25.44,24.11,9.47,8.41,20.43,5.87
KAM-4 A.E,115,4.00,35.41,27.80,27.30,13.62,6.06,27.84,5.05
KAM-4 A.E,130,7.00,47.81,35.87,23.03,26.55,13.66,23.94,13.39
KAM-4 A.E,226,7.00,45.80,33.99,26.04,24.76,8.13,19.65,6.15
KAM-4 A.E,228,6.00,48.09,30.00,26.86,6.01,9.01,24.42,3.87
KAM-4 A.E,366,6.00,83.71,48.99,18.81,17.52,10.91,13.87,4.41
KAM-4 A.E,51,5.00,41.74,31.52,35.30,10.56,8.26,29.51,5.52
Tor Faraj,216.00,3.00,48.50,33.04,26.05,11.70,5.49,26.86,4.94
Tor Faraj,218.00,4.00,46.24,32.61,33.18,17.70,6.63,44.31,5.41
Tor Faraj,3.00,5.00,62.09,30.68,36.74,4.27,4.83,39.63,4.28
Tor Faraj,2.00,3.00,46.18,32.27,45.21,1.82,5.21,48.36,4.33
Tor Faraj,220.00,3.00,63.53,25.18,30.75,6.99,8.37,30.54,8.53
Tor Faraj,208.00,7.00,91.72,22.36,30.27,3.33,7.40,29.25,11.78
Tor Faraj,200.00,3.00,61.95,26.96,14.45,5.11,3.65,15.27,3.37
Tor Faraj,198.00,4.00,49.55,20.82,28.44,4.73,6.28,25.07,6.79
Tor Faraj,203.00,3.00,22.74,31.02,26.69,25.94,3.00,25.69,5.06
Tor Faraj,234.00,6.00,53.47,21.42,23.59,10.38,7.06,23.01,6.43
Tor Faraj,7.00,6.00,31.11,19.74,19.98,7.27,4.45,16.41,5.04
Tor Faraj,227.00,4.00,52.10,30.49,23.46,17.68,8.73,19.88,9.02
Tor Faraj,225.00,3.00,72.33,37.91,42.28,4.71,7.92,37.67,8.68
Tor Faraj,226.00,6.00,44.04,38.90,43.55,7.95,8.50,23.53,7.20
Tor Faraj,5.00,3.00,55.07,24.57,28.66,2.32,5.41,29.53,6.67
Tor Faraj,3.00,3.00,46.75,30.20,25.60,1.01,4.37,26.91,5.07
Tor Faraj,16.00,4.00,55.40,31.68,17.46,13.07,5.04,24.45,3.88
Tor Faraj,3.00,3.00,53.06,20.50,42.11,4.94,5.88,42.44,6.13
Tor Faraj,6.00,6.00,50.02,30.14,36.42,0.87,8.87,33.45,8.76
Tor Faraj,4.00,3.00,46.78,20.58,26.79,1.37,4.43,11.22,4.36
Tor Faraj,8.00,4.00,73.74,33.83,34.64,3.35,9.13,33.23,10.15
Tor Faraj,25.00,3.00,58.90,17.60,28.66,1.31,6.19,27.20,5.77
Tor Faraj,15.00,6.00,70.17,40.14,53.39,9.21,11.15,56.17,7.68
Tor Faraj,4.00,3.00,35.34,34.35,35.48,3.06,4.45,34.84,3.58
Tor Faraj,18.00,3.00,36.18,28.62,37.01,1.36,6.45,40.28,7.21
Tor Faraj,17.00,4.00,46.23,17.02,21.31,1.82,4.72,17.52,3.54
Tor Faraj,13.00,3.00,52.71,26.74,21.85,5.74,6.52,21.29,4.52
Tor Faraj,9.00,3.00,39.01,24.84,23.43,7.52,4.96,22.71,5.97
Tor Faraj,16.00,4.00,63.30,27.29,39.40,5.61,6.13,44.86,5.97
Tor Faraj,1.00,4.00,59.17,36.21,32.96,1.13,8.29,31.47,10.90
Tor Faraj,5.00,4.00,61.74,31.98,31.66,24.78,5.35,33.59,4.79
Tor Faraj,2.00,3.00,51.70,11.82,6.72,2.72,4.93,8.88,2.11
Tor Faraj,102.00,3.00,39.95,12.78,12.32,2.03,2.21,7.67,2.52
Tor Faraj,204.00,3.00,26.48,16.00,18.31,6.45,3.04,16.04,4.86
Tor Faraj,507.00,3.00,53.04,34.99,21.10,1.43,10.26,18.00,4.43
Tor Faraj,6.00,3.00,52.81,35.67,29.19,15.43,4.23,22.62,3.76
Tor Faraj,535.00,4.00,43.75,22.98,27.88,2.73,5.07,14.13,6.17
Tor Faraj,553.00,4.00,63.30,27.29,39.40,5.61,6.13,44.86,5.97
Tor Faraj,195-2,3.00,30.15,16.04,21.93,3.19,2.87,22.57,2.28
Tor Faraj,UC 19,3.00,71.15,31.72,28.51,5.60,7.30,22.07,4.62
Tor Faraj,UC5,3.00,50.58,23.49,26.26,2.35,4.19,33.86,4.77
Tor Faraj,UC7,3.00,75.01,35.18,54.22,1.26,7.17,58.84,6.81
Tor Faraj,UC21,3.00,55.29,28.98,40.98,1.70,5.04,38.01,4.85
Tor Faraj,UC9,4.00,66.27,27.24,28.23,2.14,5.75,28.18,6.23
Tor Faraj,261.00,7.00,42.30,22.43,21.44,11.47,5.17,21.47,5.48
Tor Faraj,UC8,3.00,55.97,20.37,38.72,2.00,4.82,49.92,3.86
Tor Faraj,258.00,3.00,51.94,23.25,20.92,4.00,4.28,31.27,3.93
Tor Faraj,251.00,3.00,52.25,29.53,44.96,1.24,5.10,54.10,5.86
