"Assemblage","ID","N..scars","Flaking.Length","Width.at.Midpoint","Proximal.Width","Distal.Width","Thickness.at.midpoint","Platform.Width","Platform.Thickness"
"KAM-4 A.C","61",6,46.27,41.22,25.09,38.77,7.95,25.18,3.34
"KAM-4 A.C","5031",4,52.39,39.74,22.64,27.48,7.99,19.28,7.45
"KAM-4 A.C","77",8,34.08,43.92,23.57,20.64,9.74,24.3,10.16
"KAM-4 A.C","1427",4,41.68,24.16,24.01,18.35,7.18,21.56,5.87
"KAM-4 A.C","1431",5,23.78,24.05,16.64,14.62,6.81,19.06,3.27
"KAM-4 A.C","1455",3,30.16,32.35,28.43,26.15,7.04,26.55,4.88
"KAM-4 A.C","1459",5,45.55,21.4,26.63,15.15,6.7,25.29,5.23
"KAM-4 A.C","1469",5,62.53,47.35,31.6,34.22,7.76,25.51,7.02
"KAM-4 A.C","1475",5,47.82,47.79,39.22,35.96,11.86,29.67,9.52
"KAM-4 A.C","1477",1,56.61,27.93,18.51,15.49,11.98,11.91,8.32
"KAM-4 A.C","1491",5,33.82,25.48,30.64,2.69,6.02,29.65,7.06
"KAM-4 A.C","1495",3,35.47,17.08,21.97,2.25,4.66,20.06,5.18
"KAM-4 A.C","1498",4,27.13,28.64,37.88,11.31,8.21,38.69,10.82
"KAM-4 A.C","1500",5,44.54,32.79,30.3,14.11,9.26,29.6,6.96
"KAM-4 A.C","1503",4,51.53,48.5,39.44,31.73,11.94,42.61,12.82
"KAM-4 A.C","1505",9,52.07,41.95,27.38,20.13,9.1,26.95,8.4
"KAM-4 A.C","1507",5,68.31,35.69,44.31,7.66,8.12,42.36,8.96
"KAM-4 A.C","1508",5,37.96,27.79,26.31,25.04,9.14,24.15,11.79
"KAM-4 A.C","1516",6,55.32,49.44,35.71,23.52,8.35,32,6.22
"KAM-4 A.C","1523",4,89.35,38.95,37.71,4.7,8.14,24.31,7.3
"KAM-4 A.C","1513",5,125.43,61.59,38.06,38.55,9.77,37.23,10.01
"Misliya","4a",5,86,36.5,40,7,8,33,8
"Misliya","4b",5,85.5,27.5,20.5,3,6,14.5,6
"Misliya","4c",5,74,19.5,17.5,1.5,8,18,4
"Misliya","4d",8,71,24.5,22.5,4,7,13.5,6
"Misliya","4e",7,67,18.5,14.5,4,6,9,6
"Misliya","4f",4,52.5,29,30,3,7,13,4
"Misliya","4g",6,67,32.5,29,2.5,6.5,26,3
"Misliya","4h",8,83,26,32.5,4.5,11,33,5.5
"Misliya","4i",6,62.5,35.5,27.5,4,5.5,25.5,5.5
"Misliya","4j",10,68.5,35,14.5,5,8,13,5.5
"Misliya","4k",5,81,40,49,5.5,9,30,10
"Misliya","4m",4,50,26,36,2.5,7,36.5,2.5
"Misliya","4n",7,67.5,48.5,39,37.5,10.5,37.5,8
"Misliya","4o",4,52.5,21,30,3,7,30,7
"Misliya","3a",8,76.5,40,31.5,1.5,8,25.5,8.5
"Misliya","3c",4,74.5,44.5,46.5,6.5,5.5,42.5,4
"Misliya","5a",4,50.5,35.5,31,5,7.5,30,6
"Misliya","5c",5,64.5,23,29,1.5,6,27,10
